Season,Name,Position,Team,Birth.Date,GP,EVG,EVA1,EVA2,EVPTS,EVGF.PERC,TEAM.EVGF.PERC,EVGF.PERC.REL,PRIMARY.EVPTS,TEAM.PRIMARY.EVPTS,PERC.TEAM.EVPrPTS,IPP.EV,IPPP.EV,Draft.Eligible
2017 - 18 Regular Season,Kole Lind,F,Kelowna Rockets,1998-10-16,58,24,29,5,58,0.62,0.52,0.1,53,336,0.16,0.91,0.83,NO
2017 - 18 Regular Season,Jack Flaman,F,Lethbridge Hurricanes,1997-04-15,21,4,1,2,7,0.35,0.49,-0.14,5,311,0.02,0.88,0.62,NO
2017 - 18 Regular Season,Bryce Kindopp,F,Everett Silvertips,1999-06-14,72,17,7,1,25,0.57,0.57,0,24,306,0.08,0.69,0.67,NO
2017 - 18 Regular Season,Nolan Yaremko,F,Tri-City Americans,1998-05-17,70,19,12,7,38,0.57,0.49,0.08,31,316,0.1,0.64,0.53,NO
2017 - 18 Regular Season,Jordy Stallard,F,Prince Albert Raiders,1997-09-18,72,26,24,11,61,0.55,0.5,0.05,50,347,0.14,0.79,0.65,NO
2017 - 18 Regular Season,Carsen Twarynski,F,Kelowna Rockets,1997-11-24,68,21,9,10,40,0.5,0.52,-0.02,30,336,0.09,0.69,0.52,NO
2017 - 18 Regular Season,Jake Bean,D,Calgary Hitmen,1998-06-09,57,8,8,6,22,0.46,0.45,0.01,16,287,0.06,0.44,0.32,NO
2017 - 18 Regular Season,Kobe Mohr,F,Edmonton Oil Kings,1999-05-30,58,7,4,4,15,0.4,0.39,0.01,11,253,0.04,0.65,0.48,NO
2017 - 18 Regular Season,Brayden Gorda,D,Edmonton Oil Kings,1999-04-15,30,1,2,1,4,0.33,0.39,-0.06,3,253,0.01,0.29,0.21,NO
2017 - 18 Regular Season,Tyson Gruninger,F,Edmonton Oil Kings,1998-09-02,8,0,1,0,1,0.5,0.39,0.11,1,253,0,0.5,0.5,NO
2017 - 18 Regular Season,Braydyn Chizen,D,Kelowna Rockets,1998-05-09,61,6,4,6,16,0.4,0.52,-0.12,10,336,0.03,0.44,0.28,NO
2017 - 18 Regular Season,Ty Lewis,F,Brandon Wheat Kings,1998-03-05,70,29,20,12,61,0.57,0.52,0.05,49,343,0.14,0.85,0.68,NO
2017 - 18 Regular Season,Stelio Mattheos,F,Brandon Wheat Kings,1999-06-14,68,22,19,4,45,0.53,0.52,0.01,41,343,0.12,0.74,0.67,NO
2017 - 18 Regular Season,Linden McCorrister,F,Brandon Wheat Kings,1998-03-25,59,14,7,6,27,0.48,0.52,-0.04,21,343,0.06,0.69,0.54,NO
2017 - 18 Regular Season,Jared Legien,F,Regina Pats,1998-09-02,61,16,14,6,36,0.53,0.52,0.01,30,290,0.1,0.86,0.71,NO
2017 - 18 Regular Season,Vince Loschiavo,F,Kootenay ICE,1998-03-21,68,16,4,6,26,0.55,0.61,-0.06,20,446,0.04,0.65,0.5,NO
2017 - 18 Regular Season,Cale Fleury,D,Kootenay ICE,1998-11-19,68,5,14,12,31,0.55,0.52,0.03,19,290,0.07,0.43,0.26,NO
2017 - 18 Regular Season,Conner McDonald,D,Edmonton Oil Kings,1999-05-31,71,6,10,5,21,0.47,0.39,0.08,16,253,0.06,0.35,0.27,NO
2017 - 18 Regular Season,Tanner Jeannot,F,Moose Jaw Warriors,1997-05-29,72,32,13,19,64,0.66,0.61,0.05,45,446,0.1,0.79,0.56,NO
2017 - 18 Regular Season,Jared Bethune,F,Prince George Cougars,1997-01-20,71,10,16,15,41,0.45,0.43,0.02,26,294,0.09,0.73,0.46,NO
2017 - 18 Regular Season,Aaron Hyman,D,Regina Pats,1998-04-19,54,3,2,6,11,0.52,0.52,0,5,290,0.02,0.31,0.14,NO
2017 - 18 Regular Season,Dylan Plouffe,D,Vancouver Giants,1999-04-27,60,4,8,13,25,0.55,0.47,0.08,12,305,0.04,0.46,0.22,NO
2017 - 18 Regular Season,Josh Maser,F,Prince George Cougars,1999-01-18,71,17,9,6,32,0.43,0.43,0,26,294,0.09,0.7,0.57,NO
2017 - 18 Regular Season,Branden Klatt,F,Moose Jaw Warriors,1998-10-20,69,7,4,4,15,0.54,0.61,-0.07,11,446,0.02,0.6,0.44,NO
2017 - 18 Regular Season,Brett Davis,F,Kootenay ICE,1999-06-01,72,14,10,5,29,0.45,0.43,0.02,24,279,0.09,0.71,0.59,NO
2017 - 18 Regular Season,Michael Rasmussen,F,Tri-City Americans,1999-04-17,47,14,14,6,34,0.62,0.49,0.13,28,316,0.09,0.69,0.57,NO
2017 - 18 Regular Season,Zane Franklin,F,Lethbridge Hurricanes,1999-01-05,67,7,9,9,25,0.43,0.49,-0.06,16,311,0.05,0.62,0.4,NO
2017 - 18 Regular Season,Barrett Sheen,F,Kootenay ICE,1998-09-20,60,5,10,5,20,0.5,0.61,-0.11,15,446,0.03,0.71,0.54,NO
2017 - 18 Regular Season,Jake Kustra,D,Saskatoon Blades,1999-04-20,71,3,6,7,16,0.4,0.47,-0.07,9,316,0.03,0.38,0.21,NO
2017 - 18 Regular Season,Lukus MacKenzie,F,Portland Winterhawks,1999-04-26,59,2,4,7,13,0.67,0.57,0.1,6,345,0.02,0.54,0.25,NO
2017 - 18 Regular Season,Ryan Pouliot,D,Kootenay ICE,1998-05-26,64,1,3,4,8,0.38,0.43,-0.05,4,279,0.01,0.21,0.11,NO
2017 - 18 Regular Season,Brogan O'Brien,F,Prince George Cougars,1997-08-13,52,11,5,5,21,0.43,0.43,0,16,294,0.05,0.58,0.44,NO
2017 - 18 Regular Season,Spencer Gerth,F,Everett Silvertips,1998-05-15,70,5,2,2,9,0.53,0.57,-0.04,7,306,0.02,0.5,0.39,NO
2017 - 18 Regular Season,Yan Khomenko,F,Victoria Royals,1998-03-31,20,1,6,1,8,0.53,0.53,0,7,351,0.02,0.8,0.7,NO
2017 - 18 Regular Season,Brandon Schuldhaus,D,Moose Jaw Warriors,1998-02-23,64,8,6,10,24,0.51,0.61,-0.1,14,446,0.03,0.38,0.22,NO
